uid,datetime,latitude,longitude,altitude,vertical_velocity,ground_speed,satellites
4.49E+15,2021-06-23T14:23:34Z,45.69956667,-110.45525,1426.4,-0.19,0.936,10
4.49E+15,2021-06-23T14:24:05Z,45.69956667,-110.4552667,1424.5,0.21,0.288,10
4.49E+15,2021-06-23T14:24:11Z,45.69956667,-110.4552667,1423.4,-0.2,0.612,10
4.49E+15,2021-06-23T14:24:19Z,45.69956667,-110.4552833,1423.2,0.12,0.432,10
4.49E+15,2021-06-23T14:24:27Z,45.69955,-110.4552833,1423.2,0.03,0.468,10
4.49E+15,2021-06-23T14:24:37Z,45.69955,-110.4552833,1423.3,-0.13,0.396,10
4.49E+15,2021-06-23T14:24:45Z,45.69955,-110.4552667,1424.2,0.05,0.072,10
4.49E+15,2021-06-23T14:32:09Z,45.69955,-110.4552667,1429,-0.11,0.18,10
4.49E+15,2021-06-23T14:33:19Z,45.69966667,-110.4550333,1456.6,6.33,9.756,9
4.49E+15,2021-06-23T14:34:09Z,45.7003,-110.4530833,1766.6,6.19,4.968,10
4.49E+15,2021-06-23T14:34:31Z,45.70036667,-110.4524167,1904.1,6.78,12.492,10
4.49E+15,2021-06-23T14:34:47Z,45.7004,-110.4514333,1990.7,4.83,10.8,10
4.49E+15,2021-06-23T14:35:19Z,45.70075,-110.4503167,2191.2,5.36,5.292,10
4.49E+15,2021-06-23T14:35:26Z,45.70095,-110.4501667,2234.1,6.78,9.612,10
4.49E+15,2021-06-23T14:35:53Z,45.70193333,-110.44945,2399.4,6.42,26.532,10
4.49E+15,2021-06-23T14:36:01Z,45.70246667,-110.4489833,2444.3,5.94,22.932,10
4.49E+15,2021-06-23T14:36:11Z,45.70273333,-110.4484333,2491.3,6.3,21.708,10
4.49E+15,2021-06-23T14:36:32Z,45.7034,-110.4467167,2631.2,6.59,26.82,10
4.49E+15,2021-06-23T14:36:55Z,45.70363333,-110.4449333,2771.7,4.39,15.408,10
4.49E+15,2021-06-23T14:37:03Z,45.70381667,-110.44435,2814.5,7.03,22.248,10
4.49E+15,2021-06-23T14:37:12Z,45.7039,-110.4434333,2863.3,5.45,23.868,10
4.49E+15,2021-06-23T14:37:20Z,45.7041,-110.44275,2912.2,5.61,36.576,10
4.49E+15,2021-06-23T14:37:31Z,45.70428333,-110.4415833,2972.5,4.94,22.716,10
4.49E+15,2021-06-23T14:37:43Z,45.70455,-110.44015,3041.5,4.82,32.292,10
4.49E+15,2021-06-23T14:37:54Z,45.70495,-110.43875,3105.2,5.03,45.504,10
4.49E+15,2021-06-23T14:38:04Z,45.7053,-110.4372667,3169.3,6.36,48.708,11
4.49E+15,2021-06-23T14:38:13Z,45.70561667,-110.4358333,3224.7,6.7,51.192,11
4.49E+15,2021-06-23T14:38:25Z,45.70598333,-110.4339833,3309,7.48,40.608,12
